SWSH3-1,Butterfree V,['Grass'],Rare Holo
SWSH3-2,Butterfree VMAX,['Grass'],Rare Holo
SWSH3-3,Paras,['Grass'],Common
SWSH3-4,Parasect,['Grass'],Uncommon
SWSH3-5,Carnivine,['Grass'],Uncommon
SWSH3-6,Pansage,['Grass'],Common
SWSH3-7,Simisage,['Grass'],Uncommon
SWSH3-8,Karrablast,['Grass'],Common
SWSH3-9,Shelmet,['Grass'],Common
SWSH3-10,Accelgor,['Grass'],Rare
SWSH3-11,Rowlet,['Grass'],Common
SWSH3-12,Dartrix,['Grass'],Uncommon
SWSH3-13,Decidueye,['Grass'],Rare Holo
SWSH3-14,Bounsweet,['Grass'],Common
SWSH3-15,Steenee,['Grass'],Uncommon
SWSH3-16,Tsareena,['Grass'],Rare
SWSH3-17,Wimpod,['Grass'],Common
SWSH3-18,Golisopod,['Grass'],Rare Holo
SWSH3-19,Charizard V,['Fire'],Rare Holo
SWSH3-20,Charizard VMAX,['Fire'],Rare Holo
SWSH3-21,Houndoom V,['Fire'],Rare Holo
SWSH3-22,Torchic,['Fire'],Common
SWSH3-23,Combusken,['Fire'],Uncommon
SWSH3-24,Blaziken,['Fire'],Rare Holo
SWSH3-25,Heatran,['Fire'],Rare Holo
SWSH3-26,Pansear,['Fire'],Common
SWSH3-27,Simisear,['Fire'],Uncommon
SWSH3-28,Galarian Darmanitan,['Fire'],Rare
SWSH3-29,Larvesta,['Fire'],Common
SWSH3-30,Volcarona,['Fire'],Rare
SWSH3-31,Fletchinder,['Fire'],Uncommon
SWSH3-32,Talonflame,['Fire'],Rare
SWSH3-33,Centiskorch V,['Fire'],Rare Holo
SWSH3-34,Centiskorch VMAX,['Fire'],Rare Holo
SWSH3-35,Galarian Mr. Mime,['Water'],Common
SWSH3-36,Galarian Mr. Rime,['Water'],Rare
SWSH3-37,Suicune,['Water'],Rare Holo
SWSH3-38,Feebas,['Water'],Common
SWSH3-39,Milotic,['Water'],Rare Holo
SWSH3-40,Relicanth,['Water'],Uncommon
SWSH3-41,Panpour,['Water'],Common
SWSH3-42,Simipour,['Water'],Uncommon
SWSH3-43,Galarian Darumaka,['Water'],Common
SWSH3-44,Galarian Darmanitan,['Water'],Rare
SWSH3-45,Vanillite,['Water'],Common
SWSH3-46,Vanillish,['Water'],Uncommon
SWSH3-47,Vanilluxe,['Water'],Rare
SWSH3-48,Cubchoo,['Water'],Common
SWSH3-49,Beartic,['Water'],Rare
SWSH3-50,Wishiwashi,['Water'],Common
SWSH3-51,Mareanie,['Water'],Common
SWSH3-52,Toxapex,['Water'],Uncommon
SWSH3-53,Dracovish,['Water'],Rare Holo
SWSH3-54,Arctovish,['Water'],Rare
SWSH3-55,Mareep,['Lightning'],Common
SWSH3-56,Flaaffy,['Lightning'],Uncommon
SWSH3-57,Ampharos,['Lightning'],Rare
SWSH3-58,Electrike,['Lightning'],Common
SWSH3-59,Manectric,['Lightning'],Rare
SWSH3-60,Vikavolt V,['Lightning'],Rare Holo
SWSH3-61,Tapu Koko,['Lightning'],Rare Holo
SWSH3-62,Toxel,['Lightning'],Common
SWSH3-63,Toxtricity,['Lightning'],Rare Holo
SWSH3-64,Pincurchin,['Lightning'],Rare Holo
SWSH3-65,Dracozolt,['Lightning'],Rare
SWSH3-66,Arctozolt,['Lightning'],Rare Holo
SWSH3-67,Jigglypuff,['Psychic'],Common
SWSH3-68,Wigglytuff,['Psychic'],Rare
SWSH3-69,Mew V,['Psychic'],Rare Holo
SWSH3-70,Snubbull,['Psychic'],Common
SWSH3-71,Granbull,['Psychic'],Rare
SWSH3-72,Lunatone,['Psychic'],Uncommon
SWSH3-73,Gothita,['Psychic'],Common
SWSH3-74,Gothorita,['Psychic'],Uncommon
SWSH3-75,Gothitelle,['Psychic'],Rare
SWSH3-76,Golett,['Psychic'],Common
SWSH3-77,Golurk,['Psychic'],Rare
SWSH3-78,Dedenne,['Psychic'],Uncommon
SWSH3-79,Morelull,['Psychic'],Common
SWSH3-80,Shiinotic,['Psychic'],Uncommon
SWSH3-81,Mimikyu,['Psychic'],Rare
SWSH3-82,Sinistea,['Psychic'],Common
SWSH3-83,Polteageist,['Psychic'],Uncommon
SWSH3-84,Diglett,['Fighting'],Common
SWSH3-85,Dugtrio,['Fighting'],Uncommon
SWSH3-86,Larvitar,['Fighting'],Common
SWSH3-87,Pupitar,['Fighting'],Uncommon
SWSH3-88,Tyranitar,['Fighting'],Rare Holo
SWSH3-89,Trapinch,['Fighting'],Common
SWSH3-90,Vibrava,['Fighting'],Uncommon
SWSH3-91,Flygon,['Fighting'],Rare
SWSH3-92,Solrock,['Fighting'],Uncommon
SWSH3-93,Hippopotas,['Fighting'],Common
SWSH3-94,Hippowdon,['Fighting'],Rare
SWSH3-95,Rhyperior V,['Fighting'],Rare Holo
SWSH3-96,Diggersby,['Fighting'],Rare
SWSH3-97,Passimian,['Fighting'],Common
SWSH3-98,Galarian Sirfetch'd,['Fighting'],Rare
SWSH3-99,Galarian Slowbro V,['Darkness'],Rare Holo
SWSH3-100,Grimer,['Darkness'],Common
SWSH3-101,Muk,['Darkness'],Rare
SWSH3-102,Spinarak,['Darkness'],Common
SWSH3-103,Ariados,['Darkness'],Uncommon
SWSH3-104,Crobat V,['Darkness'],Rare Holo
SWSH3-105,Darkrai,['Darkness'],Rare Holo
SWSH3-106,Purrloin,['Darkness'],Common
SWSH3-107,Liepard,['Darkness'],Rare
SWSH3-108,Deino,['Darkness'],Common
SWSH3-109,Zweilous,['Darkness'],Uncommon
SWSH3-110,Hydreigon,['Darkness'],Rare
SWSH3-111,Hoopa,['Darkness'],Rare Holo
SWSH3-112,Nickit,['Darkness'],Common
SWSH3-113,Thievul,['Darkness'],Rare
SWSH3-114,Grimmsnarl V,['Darkness'],Rare Holo
SWSH3-115,Grimmsnarl VMAX,['Darkness'],Rare Holo
SWSH3-116,Eternatus V,['Darkness'],Rare Holo
SWSH3-117,Eternatus VMAX,['Darkness'],Rare Holo
SWSH3-118,Scizor V,['Metal'],Rare Holo
SWSH3-119,Scizor VMAX,['Metal'],Rare Holo
SWSH3-120,Skarmory,['Metal'],Common
SWSH3-121,Aron,['Metal'],Common
SWSH3-122,Lairon,['Metal'],Uncommon
SWSH3-123,Aggron,['Metal'],Rare Holo
SWSH3-124,Escavalier,['Metal'],Rare
SWSH3-125,Klink,['Metal'],Common
SWSH3-126,Klang,['Metal'],Uncommon
SWSH3-127,Klinklang,['Metal'],Rare
SWSH3-128,Galarian Stunfisk V,['Metal'],Rare Holo
SWSH3-129,Meltan,['Metal'],Common
SWSH3-130,Melmetal,['Metal'],Rare
SWSH3-131,Cufant,['Metal'],Common
SWSH3-132,Copperajah,['Metal'],Rare Holo
SWSH3-133,Kangaskhan,['Colorless'],Rare Holo
SWSH3-134,Tauros,['Colorless'],Common
SWSH3-135,Sentret,['Colorless'],Common
SWSH3-136,Furret,['Colorless'],Uncommon
SWSH3-137,Dunsparce,['Colorless'],Common
SWSH3-138,Teddiursa,['Colorless'],Common
SWSH3-139,Ursaring,['Colorless'],Uncommon
SWSH3-140,Lugia,['Colorless'],Rare
SWSH3-141,Skitty,['Colorless'],Common
SWSH3-142,Delcatty,['Colorless'],Rare
SWSH3-143,Salamence V,['Colorless'],Rare Holo
SWSH3-144,Salamence VMAX,['Colorless'],Rare Holo
SWSH3-145,Starly,['Colorless'],Common
SWSH3-146,Staravia,['Colorless'],Uncommon
SWSH3-147,Staraptor,['Colorless'],Rare
SWSH3-148,Ducklett,['Colorless'],Common
SWSH3-149,Swanna,['Colorless'],Rare
SWSH3-150,Bunnelby,['Colorless'],Common
SWSH3-151,Fletchling,['Colorless'],Common
SWSH3-152,Skwovet,['Colorless'],Common
SWSH3-153,Greedent,['Colorless'],Rare
SWSH3-154,Rookidee,['Colorless'],Common
SWSH3-155,Corvisquire,['Colorless'],Uncommon
SWSH3-156,Corviknight,['Colorless'],Rare Holo
SWSH3-157,Big Parasol,None,Uncommon
SWSH3-158,Billowing Smoke,None,Uncommon
SWSH3-159,Bird Keeper,None,Uncommon
SWSH3-160,Cape of Toughness,None,Uncommon
SWSH3-161,Familiar Bell,None,Uncommon
SWSH3-162,Glimwood Tangle,None,Uncommon
SWSH3-163,Kabu,None,Uncommon
SWSH3-164,Old PC,None,Uncommon
SWSH3-165,Piers,None,Uncommon
SWSH3-166,Pokémon Breeder's Nurturing,None,Uncommon
SWSH3-167,Rare Fossil,None,Uncommon
SWSH3-168,Rose,None,Uncommon
SWSH3-169,Rose Tower,None,Uncommon
